Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Epenthetic,F2,CF3,1000,0.079,87,jitter
Epenthetic,F2,CF5,4000,0.06,87,jitter
Epenthetic,F2,CF4,2000,0.115,87,jitter
Epenthetic,F2,CF6,8000,0.09,87,jitter
Epenthetic,F3,CF1,250,0.186,87,jitter
Epenthetic,F3,CF2,500,0.197,87,jitter
Epenthetic,F3,CF3,1000,0.182,87,jitter
Epenthetic,F3,CF4,2000,0.229,87,jitter
Epenthetic,F3,CF5,4000,0.135,87,jitter
Epenthetic,F3,CF6,8000,0.195,87,jitter
Epenthetic,F1,CF3,1000,0.2,117,scattered_jitter
Epenthetic,F1,CF1,250,0.206,117,scattered_jitter
Epenthetic,F1,CF4,2000,0.206,117,scattered_jitter
Epenthetic,F1,CF5,4000,0.168,117,scattered_jitter
Epenthetic,F1,CF6,8000,0.198,117,scattered_jitter
Epenthetic,F2,CF1,250,0.176,117,scattered_jitter
Epenthetic,F2,CF2,500,0.197,117,scattered_jitter
Epenthetic,F2,CF3,1000,0.17,117,scattered_jitter
Epenthetic,F2,CF4,2000,0.176,117,scattered_jitter
Epenthetic,F1,CF2,500,0.225,117,scattered_jitter
Epenthetic,F2,CF5,4000,0.14,117,scattered_jitter
Epenthetic,F2,CF6,8000,0.168,117,scattered_jitter
Vowel,F1,CF6,8000,0.093,1000,loss
Vowel,F3,CF4,2000,0.102,1000,loss
Vowel,F2,CF2,500,0.07,1000,loss
Vowel,F2,CF1,250,0.116,1000,loss
Vowel,F1,CF3,1000,0.063,1000,loss
Vowel,F1,CF5,4000,0.066,1000,loss
Vowel,F1,CF1,250,0.101,1000,loss
Vowel,F1,CF4,2000,0.061,1000,loss
Vowel,F1,CF2,500,0.059,1000,loss
Vowel,F1,CF1,250,0.078,1000,truncation
Vowel,F2,CF5,4000,0.079,1000,loss
Vowel,F3,CF3,1000,0.101,1000,loss
Vowel,F2,CF6,8000,0.107,1000,loss
Vowel,F3,CF2,500,0.094,1000,loss
Vowel,F2,CF4,2000,0.073,1000,loss
Vowel,F2,CF3,1000,0.076,1000,loss
Vowel,F3,CF6,8000,0.14,1000,loss
Vowel,F3,CF5,4000,0.11,1000,loss
Vowel,F3,CF1,250,0.15,1000,loss
Vowel,F1,CF2,500,0.047,1000,truncation
Vowel,F1,CF5,4000,0.049,1000,truncation
