Category,Formant,CF,CF_Freq,NoiseType,NeurogramType,GW_Distance,NumSamples,Group,Condition,NoiseLevel,NoiseLevel_Clean
Silence,F1,CF6,8000,random,Noisy,0.033,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF1,250,random,Noisy,0.022,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF2,500,random,Noisy,0.024,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF3,1000,random,Noisy,0.015,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF4,2000,random,Noisy,0.025,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF5,4000,random,Noisy,0.006,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F2,CF6,8000,random,Noisy,0.004,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF1,250,random,Noisy,0.045,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF2,500,random,Noisy,0.056,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF3,1000,random,Noisy,0.032,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF4,2000,random,Noisy,0.032,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF5,4000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Silence,F3,CF6,8000,random,Noisy,0.015,50,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF1,250,random,Noisy,0.022,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF2,500,random,Noisy,0.025,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF3,1000,random,Noisy,0.015,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF4,2000,random,Noisy,0.03,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF5,4000,random,Noisy,0.058,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F1,CF6,8000,random,Noisy,0.079,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF1,250,random,Noisy,0.023,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF2,500,random,Noisy,0.019,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF3,1000,random,Noisy,0.015,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF4,2000,random,Noisy,0.029,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF5,4000,random,Noisy,0.069,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F2,CF6,8000,random,Noisy,0.093,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF1,250,random,Noisy,0.005,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF2,500,random,Noisy,0.014,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF3,1000,random,Noisy,0.005,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF4,2000,random,Noisy,0.014,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF5,4000,random,Noisy,0.035,100,Healthy,Healthy random,random,Baseline (Healthy)
Liquid,F3,CF6,8000,random,Noisy,0.055,100,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF1,250,random,Noisy,0.015,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF2,500,random,Noisy,0.01,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF3,1000,random,Noisy,0.011,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF4,2000,random,Noisy,0.021,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF5,4000,random,Noisy,0.024,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F1,CF6,8000,random,Noisy,0.013,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF1,250,random,Noisy,0.02,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF2,500,random,Noisy,0.018,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF3,1000,random,Noisy,0.005,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF4,2000,random,Noisy,0.03,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF5,4000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F2,CF6,8000,random,Noisy,0.015,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF1,250,random,Noisy,0.005,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF2,500,random,Noisy,0.038,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF3,1000,random,Noisy,0.017,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF4,2000,random,Noisy,0.008,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF5,4000,random,Noisy,0.005,50,Healthy,Healthy random,random,Baseline (Healthy)
Glottal Stop,F3,CF6,8000,random,Noisy,0.011,50,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF1,250,random,Noisy,0.02,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF2,500,random,Noisy,0.016,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF3,1000,random,Noisy,0.021,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF4,2000,random,Noisy,0.021,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF5,4000,random,Noisy,0.05,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F1,CF6,8000,random,Noisy,0.048,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF1,250,random,Noisy,0.035,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF2,500,random,Noisy,0.05,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF3,1000,random,Noisy,0.049,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF4,2000,random,Noisy,0.05,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF5,4000,random,Noisy,0.088,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F2,CF6,8000,random,Noisy,0.095,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF1,250,random,Noisy,0.018,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF2,500,random,Noisy,0.022,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF3,1000,random,Noisy,0.017,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF4,2000,random,Noisy,0.02,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF5,4000,random,Noisy,0.029,100,Healthy,Healthy random,random,Baseline (Healthy)
Glide,F3,CF6,8000,random,Noisy,0.034,100,Healthy,Healthy random,random,Baseline (Healthy)
