Category,Formant,CF,CF_Freq,NoiseType,NeurogramType,GW_Distance,NumSamples
Glide,F1,CF3,1000,random,Noisy,0.021,100
Glide,F1,CF4,2000,random,Noisy,0.021,100
Glide,F1,CF5,4000,random,Noisy,0.05,100
Glide,F1,CF6,8000,random,Noisy,0.048,100
Glide,F2,CF1,250,random,Noisy,0.035,100
Glide,F2,CF2,500,random,Noisy,0.05,100
Glide,F2,CF3,1000,random,Noisy,0.049,100
Glide,F2,CF4,2000,random,Noisy,0.05,100
Glide,F2,CF5,4000,random,Noisy,0.088,100
Glide,F2,CF6,8000,random,Noisy,0.095,100
Glide,F3,CF1,250,random,Noisy,0.018,100
Glide,F3,CF2,500,random,Noisy,0.022,100
Glide,F3,CF3,1000,random,Noisy,0.017,100
Glide,F3,CF4,2000,random,Noisy,0.02,100
Glide,F3,CF5,4000,random,Noisy,0.029,100
Glide,F3,CF6,8000,random,Noisy,0.034,100
